author,published,title,text,site_url
npr,"October 16, 2017",Mindfulness Apps Aim To Help People Disconnect From Stress,,http://www.npr.org/557633144
npr,"October 15, 2017",'Quackery' Chronicles How Our Love Of Miracle Cures Leads Us Astray,,http://www.npr.org/557479531
npr,"October 14, 2017",New Rule On Moral Objections To Contraception Aimed At 2 Groups,,http://www.npr.org/557440491
npr,"October 13, 2017",Steve Ramirez: If We Could Erase Memories ... Should We?,,http://www.npr.org/557428061
npr,"October 12, 2017",This Week's Air Quality Is Worst On Record For San Francisco Bay Area,,http://www.npr.org/557394636
npr,"October 25, 2017",Episode 579: Is the NCAA An Illegal Cartel?,,http://www.npr.org/560032942
npr,"October 27, 2017","U.S. GDP Beats Expectations, Growing At 3 Percent",,http://www.npr.org/560403221
npr,"October 27, 2017",Sen. John Thune On Republican Tax Plan,,http://www.npr.org/560346419
npr,"October 26, 2017",How Important Is It Politically To Keep 401(k) Breaks Unchanged?,,http://www.npr.org/560152264
npr,"October 25, 2017",Next Fed Chair Will Help Determine Pace Of Interest Rate Hikes,,http://www.npr.org/560079743
npr,"October 25, 2017","As Trump Proposes Tax Cuts, Kansas Deals With Aftermath Of Experiment",,http://www.npr.org/560040131
npr,"October 25, 2017",How Disasters Impact Ambition,,http://www.npr.org/559963761
npr,"October 25, 2017",Need Help In Puerto Rico? Here's $100,,http://www.npr.org/559735038
npr,"October 24, 2017","Why You Shouldn't Count On The Promised $4,000 'Raise' From GOP Tax Plan",,http://www.npr.org/559634802
npr,"October 24, 2017","Congress Works On Tax Overhaul, Trump Says 401(k) Breaks Won't Change",,http://www.npr.org/559690965
npr,"October 23, 2017",Predictably Unpredictable: Why We Don't Act Like We Should,,http://www.npr.org/559581601
npr,"October 23, 2017",How The Affordable Housing Crisis Is Playing Out In One Dallas Neighborhood,,http://www.npr.org/559618396
npr,"October 23, 2017",Trump Mulls Reappointing Janet Yellen To Another Term As Fed Chair,,http://www.npr.org/559454548
npr,"October 21, 2017","Don't Surrender, Reinvent: The New Mantra Of Small Biz In Puerto Rico",,http://www.npr.org/559047858
npr,"October 19, 2017",The 30th Anniversary Of Black Monday: A Day That Made Wall Street Quake,,http://www.npr.org/558625600
npr,"October 17, 2017",Efforts To Rewrite NAFTA Not Going Well; Next Round of Talks Delayed,,http://www.npr.org/558380668
npr,"October 17, 2017","Dow Jones Industrial Average Briefly Climbs Over 23,000 Points",,http://www.npr.org/558390576
npr,"June 4, 2013",President Obama Wants To Tackle The Patent Problem,,http://www.npr.org/188663009
npr,"June 4, 2013",When Patents Attack ... Part Two!,,http://www.npr.org/188370495
npr,N/A,Unfit forWork,,http://www.npr.org/174194673
npr,"January 4, 2013",Planet Money On This American Life,,http://www.npr.org/168630879
npr,"November 19, 2012","Death Takes A Policy, Cont'd",,http://www.npr.org/165524017
npr,"March 30, 2012",Take The Money And Run For Office,,http://www.npr.org/149390968
npr,"January 20, 2012",Planet Money On This American Life,,http://www.npr.org/145526019
npr,"August 23, 2011",S&P; President Steps Down,,http://www.npr.org/139879273
npr,"July 22, 2011",When Patents Attack,,http://www.npr.org/138576167
npr,"May 13, 2011",How To Create A Job,,http://www.npr.org/136274980
npr,"April 18, 2011",Wall Street Stories Win A Pulitzer,,http://www.npr.org/135518128
npr,"January 8, 2011",Planet Money On This American Life,,http://www.npr.org/132766349
npr,"April 16, 2011","One Pill Two Pill, Red Pill Blue Pill",,http://www.npr.org/135751879
